binPath,vaddr,name,groundtruth,BLens,XFL,BL-S,SymLM,BL-A,AsmDepictor
/dbg_elf_bins/superiotool/usr/sbin/superiotool,30288,csu_fini,csu_finalise,csu_finalise,csu_finalise,<Not in the dataset>,<Not in the dataset>,<Not in the dataset>,<Not in the dataset>
/dbg_elf_bins/superiotool/usr/sbin/superiotool,23088,dump_superio,dump_io,print,,<Not in the dataset>,<Not in the dataset>,dump,print_record
/dbg_elf_bins/superiotool/usr/sbin/superiotool,23024,get_superio_name,get_io_name,,,<Not in the dataset>,<Not in the dataset>,,get_name
/dbg_elf_bins/superiotool/usr/sbin/superiotool,26944,probe_idregs_nsc,probe,,,<Not in the dataset>,<Not in the dataset>,<Not in the dataset>,<Not in the dataset>
/dbg_elf_bins/superiotool/usr/sbin/superiotool,29472,print_winbond_chips,print_win,,,,initialise,print,mod_source_initialise
/dbg_elf_bins/superiotool/usr/sbin/superiotool,29280,probe_idregs_winbond,probe_win,,,,,,object
/dbg_elf_bins/superiotool/usr/sbin/superiotool,27472,probe_idregs_nuvoton,probe_to,do,,<Not in the dataset>,<Not in the dataset>,print,mixer_set
/dbg_elf_bins/superiotool/usr/sbin/superiotool,30292,fini,finalise,finalise,finalise,<Not in the dataset>,<Not in the dataset>,finalise,finalise
/dbg_elf_bins/superiotool/usr/sbin/superiotool,29760,probe_idregs_via,probe,,,,,do,do_set
/dbg_elf_bins/superiotool/usr/sbin/superiotool,22912,exit_conf_mode_fintek,exit_configuration_mode_integer,print,csu_initialise,get,,<Not in the dataset>,<Not in the dataset>
/dbg_elf_bins/superiotool/usr/sbin/superiotool,23984,dump_io,dump_io,print,,dump,,print,print
/dbg_elf_bins/superiotool/usr/sbin/superiotool,24512,probe_idregs_serverengines,probe_server,print,,,,<Not in the dataset>,<Not in the dataset>
/dbg_elf_bins/superiotool/usr/sbin/superiotool,25120,print_ali_chips,print,,finalise,,,,configuration_get_os
/dbg_elf_bins/superiotool/usr/sbin/superiotool,24224,probing_for,for,,,,,,shell_cmd
/dbg_elf_bins/superiotool/usr/sbin/superiotool,25760,print_fintek_chips,print_integer,,,,initialise,,configuration_get_os
/dbg_elf_bins/superiotool/usr/sbin/superiotool,22800,regval,register_value,,,<Not in the dataset>,<Not in the dataset>,,
/dbg_elf_bins/superiotool/usr/sbin/superiotool,22928,superio_unknown,io,tag_tag,,is,,tag,from_character
/dbg_elf_bins/superiotool/usr/sbin/superiotool,30144,print_via_chips,print,,,,,,configuration_get_os
/dbg_elf_bins/superiotool/usr/sbin/superiotool,26896,print_ite_chips,print,print,,,get,print,mod_source_initialise
/dbg_elf_bins/superiotool/usr/sbin/superiotool,27440,print_nsc_chips,print,,finalise,,,,configuration_get_os
/dbg_elf_bins/superiotool/usr/sbin/superiotool,24416,print_list_of_supported_chips,print_list_of_supported,usage,,print,,,save_usage
/dbg_elf_bins/superiotool/usr/sbin/superiotool,26176,probe_idregs_ite,probe,,,<Not in the dataset>,<Not in the dataset>,<Not in the dataset>,<Not in the dataset>
/dbg_elf_bins/superiotool/usr/sbin/superiotool,30176,csu_init,csu_initialise,csu_initialise,csu_initialise,<Not in the dataset>,<Not in the dataset>,<Not in the dataset>,<Not in the dataset>
/dbg_elf_bins/superiotool/usr/sbin/superiotool,22848,enter_conf_mode_winbond_fintek_ite,enter_configuration_mode_win_integer,,,,,,set_in
/dbg_elf_bins/superiotool/usr/sbin/superiotool,28528,probe_idregs_smsc,probe,initialise,,initialise,,,cpu
/dbg_elf_bins/superiotool/usr/sbin/superiotool,22496,start,start,start,start,<Not in the dataset>,<Not in the dataset>,start,start
/dbg_elf_bins/superiotool/usr/sbin/superiotool,22000,main,main,main,main,<Not in the dataset>,<Not in the dataset>,main,main
/dbg_elf_bins/superiotool/usr/sbin/superiotool,27968,print_nuvoton_chips,print_to,,,,initialise_type,,configuration_get_os
/dbg_elf_bins/superiotool/usr/sbin/superiotool,22832,regwrite,register_write,config,,<Not in the dataset>,<Not in the dataset>,write,decimal
/dbg_elf_bins/superiotool/usr/sbin/superiotool,29520,pci_dev_find,pci_device_find,device_find,,os_find,device,device_find,callback
/dbg_elf_bins/superiotool/usr/sbin/superiotool,22896,enter_conf_mode_fintek,enter_configuration_mode_integer,,csu_initialise,,,<Not in the dataset>,<Not in the dataset>
/dbg_elf_bins/superiotool/usr/sbin/superiotool,24832,probe_idregs_ali,probe,send,,,print,<Not in the dataset>,<Not in the dataset>
/dbg_elf_bins/superiotool/usr/sbin/superiotool,28576,print_smsc_chips,print,,,,,,xfpm_suspend_can
/dbg_elf_bins/superiotool/usr/sbin/superiotool,24272,print_vendor_chips,print,print,initialise,print,get,print,print_database
/dbg_elf_bins/superiotool/usr/sbin/superiotool,24800,print_serverengines_chips,print_server,,finalise,,,,configuration_get_os
/dbg_elf_bins/superiotool/usr/sbin/superiotool,25152,probe_idregs_fintek,probe_integer,,,,,,right
/dbg_elf_bins/superiotool/usr/sbin/superiotool,22864,exit_conf_mode_winbond_fintek_ite,exit_configuration_mode_win_integer,,,,,write,address_length
/dbg_elf_bins/superiotool/usr/sbin/superiotool,25456,probe_idregs_fintek_alternative,probe_integer,send,,,,<Not in the dataset>,<Not in the dataset>
/dbg_elf_bins/superiotool/usr/sbin/superiotool,21712,init,initialise,initialise,initialise,<Not in the dataset>,<Not in the dataset>,initialise,initialise
/dbg_elf_bins/uniutils/usr/bin/uniname,483712,csu_fini,csu_finalise,csu_finalise,csu_finalise,<Not in the dataset>,<Not in the dataset>,<Not in the dataset>,<Not in the dataset>
/dbg_elf_bins/uniutils/usr/bin/uniname,482928,putu8,8,,,,8,utf_8,draw_character
/dbg_elf_bins/uniutils/usr/bin/uniname,481360,Get_UTF32,get_utf_32,get_utf_32,,get_utf_32,,get_utf_32,get_utf_32
/dbg_elf_bins/uniutils/usr/bin/uniname,481696,ListSelectedRanges,list_selected,,,,,<Not in the dataset>,<Not in the dataset>
/dbg_elf_bins/uniutils/usr/bin/uniname,480704,Get_UTF32_From_UTF8,get_utf_32_from_utf_8,get_utf_32_from_utf_8,,<Not in the dataset>,<Not in the dataset>,get_utf_32_from_utf_8,get_utf_32_from_utf_8
/dbg_elf_bins/uniutils/usr/bin/uniname,483716,fini,finalise,finalise,finalise,<Not in the dataset>,<Not in the dataset>,finalise,finalise
/dbg_elf_bins/uniutils/usr/bin/uniname,483408,binfmts,timestamp,timestamp,,timestamp,get,<Not in the dataset>,<Not in the dataset>
