binPath,vaddr,name,groundtruth,BLens,XFL,BL-S,SymLM,BL-A,AsmDepictor
/dbg_elf_bins/libnfc-examples/usr/bin/nfc-emulate-uid,5344,print_hex_bits,print_hex_bits,print_hex_bits,,print_hex,print_hex_bits,print_hex,print_hex
/dbg_elf_bins/libnfc-examples/usr/bin/nfc-emulate-uid,5248,print_hex,print_hex,print_hex,,print_hex,print_hex,<Not in the dataset>,<Not in the dataset>
/dbg_elf_bins/libnfc-examples/usr/bin/nfc-emulate-uid,5520,print_hex_par,print_hex,print_hex,print_hex,print_hex,print_hex,<Not in the dataset>,<Not in the dataset>
/dbg_elf_bins/libnfc-examples/usr/bin/nfc-emulate-uid,5776,print_nfc_target,print_target,print_target,initialise,print_target,print_target,print_target,print_target
/dbg_elf_bins/libnfc-examples/usr/bin/nfc-poll,4304,print_hex_bits,print_hex_bits,print_hex_bits,,print_hex_bits,print_hex_bits,<Not in the dataset>,<Not in the dataset>
/dbg_elf_bins/libnfc-examples/usr/bin/nfc-poll,4208,print_hex,print_hex,print_hex,,print_hex,print_hex,<Not in the dataset>,<Not in the dataset>
/dbg_elf_bins/libnfc-examples/usr/bin/nfc-poll,4480,print_hex_par,print_hex,print_hex,initialise,print_hex,print_hex,<Not in the dataset>,<Not in the dataset>
/dbg_elf_bins/libnfc-examples/usr/bin/nfc-poll,4736,print_nfc_target,print_target,print_target,,print_target,print_target,print_target,print_target
/dbg_elf_bins/libnfc-examples/usr/bin/nfc-emulate-tag,4880,print_hex_bits,print_hex_bits,print_hex_bits,main,print_hex_hex,print_hex_bits,<Not in the dataset>,<Not in the dataset>
/dbg_elf_bins/libnfc-examples/usr/bin/nfc-emulate-tag,4784,print_hex,print_hex,print_hex,,print_hex,print_hex,print_hex,print_hex
/dbg_elf_bins/libnfc-examples/usr/bin/nfc-emulate-tag,5056,print_hex_par,print_hex,print_hex,,print_hex,print_hex,<Not in the dataset>,<Not in the dataset>
/dbg_elf_bins/libnfc-examples/usr/bin/nfc-emulate-tag,5312,print_nfc_target,print_target,print_target,,print_target,print_target,print_target,print_target
/dbg_elf_bins/libnfc-examples/usr/bin/nfc-dep-target,4352,print_hex_bits,print_hex_bits,print_hex_bits,,print_hex_bits,print_hex_bits,<Not in the dataset>,<Not in the dataset>
/dbg_elf_bins/libnfc-examples/usr/bin/nfc-dep-target,4256,print_hex,print_hex,print_hex,,print_hex,print_hex,<Not in the dataset>,<Not in the dataset>
/dbg_elf_bins/libnfc-examples/usr/bin/nfc-dep-target,4528,print_hex_par,print_hex,print_hex,,print_hex,print_hex,<Not in the dataset>,<Not in the dataset>
/dbg_elf_bins/libnfc-examples/usr/bin/nfc-dep-target,4784,print_nfc_target,print_target,print_target,,print_target,print_target,print_target,print_target
/dbg_elf_bins/libnfc-examples/usr/bin/nfc-relay,5536,print_hex_bits,print_hex_bits,print_hex_bits,,print_hex_bits,print_hex_bits,<Not in the dataset>,<Not in the dataset>
/dbg_elf_bins/libnfc-examples/usr/bin/nfc-relay,5440,print_hex,print_hex,print_hex,,print_hex,print_hex,<Not in the dataset>,<Not in the dataset>
/dbg_elf_bins/libnfc-examples/usr/bin/nfc-relay,5712,print_hex_par,print_hex,print_hex,,print_hex,print_hex,print_data,print_sock_address
/dbg_elf_bins/libnfc-examples/usr/bin/nfc-relay,5968,print_nfc_target,print_target,print_target,initialise,print_target,print_target,print_target,print_target
/dbg_elf_bins/libnfc-examples/usr/bin/nfc-emulate-forum-tag2,4096,print_hex_bits,print_hex_bits,print_hex_bits,main,print_hex_hex,print_hex_bits,<Not in the dataset>,<Not in the dataset>
/dbg_elf_bins/libnfc-examples/usr/bin/nfc-emulate-forum-tag2,4000,print_hex,print_hex,print_hex,,print_hex,print_hex,print,print_hex
/dbg_elf_bins/libnfc-examples/usr/bin/nfc-emulate-forum-tag2,4272,print_hex_par,print_hex,print_hex,,print_hex,print_hex,<Not in the dataset>,<Not in the dataset>
/dbg_elf_bins/libnfc-examples/usr/bin/nfc-emulate-forum-tag2,4528,print_nfc_target,print_target,print_target,initialise,print_target,print_target,print_target,print_target
/dbg_elf_bins/libnfc-examples/usr/bin/nfc-dep-initiator,4144,print_hex_bits,print_hex_bits,print_hex_bits,,print_hex_bits,print_hex_bits,<Not in the dataset>,<Not in the dataset>
/dbg_elf_bins/libnfc-examples/usr/bin/nfc-dep-initiator,4048,print_hex,print_hex,print_hex,,print_hex,print_hex,<Not in the dataset>,<Not in the dataset>
/dbg_elf_bins/libnfc-examples/usr/bin/nfc-dep-initiator,4320,print_hex_par,print_hex,print_hex,,print_hex,print_hex,<Not in the dataset>,<Not in the dataset>
/dbg_elf_bins/libnfc-examples/usr/bin/nfc-dep-initiator,4576,print_nfc_target,print_target,print_target,,print_target,print_target,print_target,print_target
/dbg_elf_bins/libnfc-examples/usr/bin/nfc-anticol,6320,print_hex_bits,print_hex_bits,print_hex_bits,,print_hex,print_hex_bits,print,print_hex
/dbg_elf_bins/libnfc-examples/usr/bin/nfc-anticol,6224,print_hex,print_hex,print_hex,,print_hex,print_hex,print_hex,print_hex
/dbg_elf_bins/libnfc-examples/usr/bin/nfc-anticol,6496,print_hex_par,print_hex,print_hex,print_hex,print_hex,print_hex,<Not in the dataset>,<Not in the dataset>
/dbg_elf_bins/libnfc-examples/usr/bin/nfc-anticol,6752,print_nfc_target,print_target,print_target,initialise_target,print_target,print_target,print_target,print_target
/dbg_elf_bins/libnfc-examples/usr/bin/nfc-mfsetuid,6304,print_hex_bits,print_hex_bits,print_hex_bits,initialise,print_hex,print_hex_bits,print_hex_bits,print_hex
/dbg_elf_bins/libnfc-examples/usr/bin/nfc-mfsetuid,6208,print_hex,print_hex,print_hex,,print_hex,print_hex,print_hex,print_hex
/dbg_elf_bins/libnfc-examples/usr/bin/nfc-mfsetuid,6480,print_hex_par,print_hex,print_hex,,print_hex,print_hex,<Not in the dataset>,<Not in the dataset>
/dbg_elf_bins/libnfc-examples/usr/bin/nfc-mfsetuid,6736,print_nfc_target,print_target,print_target,initialise,print_target,print_target,print_target,print_target
/dbg_elf_bins/xsok/usr/games/xsok,36272,button_press,button_press,,,,,<Not in the dataset>,<Not in the dataset>
/dbg_elf_bins/xsok/usr/games/xsok,30448,load_game,load_game,save,main,<Not in the dataset>,<Not in the dataset>,load,
/dbg_elf_bins/xsok/usr/games/xsok,20528,cmd_PlayMacro,cmd_play_macro,,,,,,draw
/dbg_elf_bins/xsok/usr/games/xsok,18512,key_pressed,key,,,<Not in the dataset>,<Not in the dataset>,,callback
/dbg_elf_bins/xsok/usr/games/xsok,25232,malloc,malloc,malloc,,malloc,malloc,malloc,string_copy
/dbg_elf_bins/xsok/usr/games/xsok,30272,WriteHighscores,write,write_score,,write_file,,write,version
/dbg_elf_bins/xsok/usr/games/xsok,19296,rq_NextUnsolved,next,,,,,,skip
/dbg_elf_bins/xsok/usr/games/xsok,20832,cmd_RedoMove,cmd_move,,,<Not in the dataset>,<Not in the dataset>,undo,call_group_color
/dbg_elf_bins/xsok/usr/games/xsok,20032,cmd_NextLevel,cmd_next_level,do,,draw,set,,display_stack
/dbg_elf_bins/xsok/usr/games/xsok,41840,popup_help,popup_help,,,,state,,at_2_0_2_2_11_2_utility_2_at_2_at_2_ed_at_dyn_load
/dbg_elf_bins/xsok/usr/games/xsok,38176,init_gfx,initialise,load,,load,,load,number_print
/dbg_elf_bins/xsok/usr/games/xsok,40880,Force_Resize,force_resize,,,,addition,<Not in the dataset>,<Not in the dataset>
/dbg_elf_bins/xsok/usr/games/xsok,19632,cmd_ShowScore,cmd_show_score,score,,game,,game,game_name
/dbg_elf_bins/xsok/usr/games/xsok,20160,cmd_RestartGame,cmd_restart_game,,,,,,buffer
/dbg_elf_bins/xsok/usr/games/xsok,19168,rq_LeaveSok,so,start,,,,<Not in the dataset>,<Not in the dataset>
